Size,Seconds
2000000,0.000001
3000000,0.000001
4000000,0.000001
100000,0.000000
5000000,0.000002
1000,0.000000
10000000,0.000002
1000000,0.000001
10000,0.000000
2000000,0.000001
3000000,0.000001
4000000,0.000001
100000,0.000001
5000000,0.000001
1000,0.000000
10000000,0.000001
1000000,0.000001
10000,0.000001
2000000,0.000001
3000000,0.000001
4000000,0.000001
100000,0.000001
5000000,0.000001
1000,0.000000
10000000,0.000001
1000000,0.000002
10000,0.000000
2000000,0.000001
3000000,0.000002
4000000,0.000002
100000,0.000003
5000000,0.000002
1000,0.000000
10000000,0.000001
1000000,0.000001
10000,0.000000
2000000,0.000001
3000000,0.000001
4000000,0.000001
100000,0.000001
5000000,0.000001
1000,0.000000
10000000,0.000001
1000000,0.000001
10000,0.000000
2000000,0.000001
3000000,0.000002
4000000,0.000001
100000,0.000001
5000000,0.000002
1000,0.000001
10000000,0.000001
1000000,0.000001
10000,0.000000
2000000,0.000001
3000000,0.000001
4000000,0.000002
100000,0.000002
5000000,0.000001
1000,0.000001
10000000,0.000001
1000000,0.000001
10000,0.000000
2000000,0.000002
3000000,0.000001
4000000,0.000001
100000,0.000001
5000000,0.000002
1000,0.000000
10000000,0.000001
1000000,0.000002
10000,0.000000
2000000,0.000001
3000000,0.000002
4000000,0.000001
100000,0.000001
5000000,0.000002
1000,0.000001
10000000,0.000001
1000000,0.000001
10000,0.000000
2000000,0.000002
3000000,0.000002
4000000,0.000003
100000,0.000001
5000000,0.000001
1000,0.000000
10000000,0.000001
1000000,0.000001
10000,0.000000
2000000,0.000002
3000000,0.000002
4000000,0.000002
100000,0.000001
5000000,0.000002
1000,0.000000
10000000,0.000000
1000000,0.000001
10000,0.000000
2000000,0.000001
3000000,0.000001
4000000,0.000002
100000,0.000001
5000000,0.000002
1000,0.000000
10000000,0.000001
1000000,0.000001
10000,0.000000
2000000,0.000001
3000000,0.000002
4000000,0.000001
100000,0.000001
5000000,0.000002
1000,0.000001
10000000,0.000002
1000000,0.000001
10000,0.000000
2000000,0.000001
3000000,0.000002
4000000,0.000001
100000,0.000001
5000000,0.000002
1000,0.000000
10000000,0.000001
1000000,0.000000
10000,0.000001
2000000,0.000001
3000000,0.000001
4000000,0.000001
100000,0.000001
5000000,0.000002
1000,0.000000
10000000,0.000001
1000000,0.000002
10000,0.000000
2000000,0.000001
3000000,0.000001
4000000,0.000001
100000,0.000000
5000000,0.000001
1000,0.000001
10000000,0.000001
1000000,0.000002
10000,0.000000
2000000,0.000001
3000000,0.000002
4000000,0.000001
100000,0.000001
5000000,0.000003
1000,0.000001
10000000,0.000002
1000000,0.000001
10000,0.000001
2000000,0.000002
3000000,0.000001
4000000,0.000003
100000,0.000001
5000000,0.000002
